X1,gene,entrez_id,ensembl_id,subclass,pct.1,pct.2,avg_log2FC,roc_avg_diff,roc_myAUC,roc_power,MAST_p_val,MAST_p_val_adj,dup_gene,avg_expr,avg_expr_ratio
12612,ZFP36L1,677,ENSG00000185650,VLMC,0.636,0.107,3.05927152130737,2.12052542956154,0.784,0.568,5.82886524237412e-6,0.293081173251813,FALSE,NA,NA
12613,ZFP36L1,677,ENSG00000185650,Microglia,0.665,0.098,5.7885801311563,4.01233799735631,0.807,0.614,0,0,FALSE,3.4504857762554892,1.2360493027072956
12614,ZFP36L1,677,ENSG00000185650,Pericyte,0.375,0.107,1.76156116951139,1.2210211580307,0.637,0.274,2.21006245277243e-4,1,FALSE,NA,NA
12615,ZFP36L1,677,ENSG00000185650,OPC,0.397,0.102,2.42700677088239,1.68227290043702,0.655,0.31,3.13482183749836e-130,1.57621976811255e-125,FALSE,NA,NA
12616,ZFP36L1,677,ENSG00000185650,Astrocyte,0.572,0.095,3.75393583115948,2.60203003737114,0.753,0.506,0,0,FALSE,NA,NA
12617,ZFP36L2,678,ENSG00000152518,VLMC,0.364,0.042,1.84704291562659,1.28027258933979,0.661,0.322,0.00320257805704799,1,FALSE,NA,NA
12618,ZFP36L2,678,ENSG00000152518,Microglia,0.655,0.032,6.39722990104222,4.43422186930119,0.818,0.636,0,0,FALSE,3.6455540875096832,2.311801243242005
12619,ZFP36L2,678,ENSG00000152518,Astrocyte,0.359,0.034,2.99150947504367,2.07355635824488,0.664,0.328,2.91933983520756e-289,1.46787326254071e-284,FALSE,NA,NA
12621,ZFPM2,23414,ENSG00000169946,OPC,0.961,0.827,1.6041240077771,1.11189403325922,0.768,0.536,5.76729845733877e-100,2.89985533733451e-95,FALSE,NA,NA
12622,ZFPM2,23414,ENSG00000169946,L6b,0.997,0.825,1.55243804402359,1.07606805320895,0.87,0.74,2.65654905165977e-256,1.33573942866505e-251,FALSE,6.611207433277761,1.0724909190321794
12624,ZFPM2.AS1,NA,NA,PVALB,0.387,0.356,2.23632016547474,1.55009901752817,0.526,0.052,5.89816228844069e-82,2.96565498025086e-77,FALSE,NA,NA
12625,ZFPM2.AS1,NA,NA,Microglia,0.497,0.356,5.04335270826594,3.4957857103039,0.622,0.244,4.55980316666321e-307,2.29271463022993e-302,FALSE,1.9864751213063379,1.8654260950561747
12626,ZFX,7543,ENSG00000005889,Pericyte,0.531,0.662,2.55839307441292,1.7733429462934,0.499,0.002,0.00135492367211241,1,FALSE,NA,NA
12627,ZFX,7543,ENSG00000005889,Microglia,0.455,0.665,1.52820606383989,1.05927172446523,0.391,0.218,1.45293141560863e-30,7.30548445082174e-26,FALSE,NA,NA
12628,ZFX,7543,ENSG00000005889,Endothelial,0.457,0.662,1.79186361889051,1.2420252153819,0.391,0.218,0.00203378147961167,1,FALSE,NA,NA
12629,ZFY,7544,ENSG00000067646,VLMC,0.364,0.333,1.75720848409329,1.21800410640528,0.556,0.112,NA,NA,FALSE,1.8294594995191773,1.273531169248819
12631,ZFYVE16,9765,ENSG00000039319,Oligodendrocyte,0.968,0.923,2.56665827620644,1.77907194761335,0.85,0.7,0,0,FALSE,6.261803252381114,1.215380525667169
12633,ZFYVE21,79038,ENSG00000100711,Astrocyte,0.629,0.572,1.68263881481047,1.1663163503866,0.598,0.196,2.11339119861828e-67,1.06263422857726e-62,FALSE,NA,NA
12637,ZHX2,22882,ENSG00000178764,OPC,0.827,0.463,3.09756555081321,2.14706882814579,0.801,0.602,1.17645422067527e-302,5.91532946697732e-298,FALSE,NA,NA
12638,ZHX2,22882,ENSG00000178764,Astrocyte,0.935,0.457,3.71256814884957,2.57335614501174,0.902,0.804,0,0,FALSE,NA,NA
12639,ZHX2,22882,ENSG00000178764,VLMC,1,0.469,4.01327229652455,2.78178837715533,0.913,0.826,3.39491586436378e-8,0.00170699764576075,FALSE,5.1536038558865185,1.0161301985522835
12640,ZHX2,22882,ENSG00000178764,Oligodendrocyte,0.752,0.457,3.06370643402711,2.12359947680926,0.749,0.498,0,0,FALSE,NA,NA
12641,ZHX2,22882,ENSG00000178764,Endothelial,0.557,0.469,1.56950417543327,1.08789739407863,0.579,0.158,0.00346507174850227,1,FALSE,NA,NA
12642,ZHX3,23051,ENSG00000174306,Astrocyte,0.989,0.894,2.711099678718,1.87919109852035,0.902,0.804,0,0,FALSE,6.348400304749392,1.3545658384934305
12644,ZIC1,7545,ENSG00000152977,VLMC,0.364,0.004,4.77143827866801,3.30730899007453,0.68,0.36,2.69017107645065e-7,0.0135264491895015,FALSE,1.4999203287672271,1.1882834477435051
12646,ZIC4,84107,ENSG00000174963,Pericyte,0.375,0.016,6.06422307738698,4.20339912837734,0.681,0.362,3.07934610870584e-16,1.54832601691839e-11,TRUE,NA,NA
